,precision,recall,f1-score,support
0.0,0.9109697933227345,0.7022058823529411,0.7930795847750866,816.0
1.0,0.12274368231046931,0.37777777777777777,0.18528610354223435,90.0
accuracy,0.6699779249448123,0.6699779249448123,0.6699779249448123,0.6699779249448123
macro avg,0.5168567378166019,0.5399918300653594,0.4891828441586604,906.0
weighted avg,0.8326691862685359,0.6699779249448123,0.7327027488910284,906.0
