,precision,recall,f1-score,support
0.0,0.20689655172413793,0.5454545454545454,0.3,11.0
1.0,0.8275862068965517,0.5106382978723404,0.631578947368421,47.0
accuracy,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449
macro avg,0.5172413793103449,0.5280464216634428,0.46578947368421053,58.0
weighted avg,0.7098692033293698,0.5172413793103448,0.5686932849364791,58.0
