,param_clf__selected_model,params,mean_fit_time,std_fit_time,mean_test_ba,std_test_ba,rank_test_ba,mean_test_ap,std_test_ap,rank_test_ap,mean_test_ra,std_test_ra,rank_test_ra,mean_test_F1,std_test_F1,rank_test_F1
45,"('gb', {'learning_rate': 0.01, 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 1.0})","{'clf__selected_model': ('gb', {'learning_rate': 0.01, 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 1.0})}",9.454043277104695,1.1163436902439703,0.5234191973609946,0.003955757299472232,29,0.5990879074189203,0.006228837205763772,33,0.5479949698169049,0.006460069317702516,32,0.6979640641934177,0.004997213461351453,22
4,"('gb', {'learning_rate': 0.05, 'max_depth': 9, 'max_features': 'sqrt', 'n_estimators': 500, 'subsample': 0.5})","{'clf__selected_model': ('gb', {'learning_rate': 0.05, 'max_depth': 9, 'max_features': 'sqrt', 'n_estimators': 500, 'subsample': 0.5})}",10.68412806193034,0.37879160269548984,0.5231446487169635,0.005923128415775299,30,0.5880319364209622,0.006796783503897115,55,0.5321028323924186,0.007476853544745137,49,0.663470639995813,0.004323996196113381,32
35,"('gb', {'learning_rate': 0.2, 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 0.5})","{'clf__selected_model': ('gb', {'learning_rate': 0.2, 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 0.5})}",3.73553573290507,0.5825064494850056,0.523074982727527,0.006753761950771002,31,0.5861717078855384,0.0073302099570392775,60,0.5296955704871184,0.008177885869187078,52,0.6618399489783785,0.005303530295023222,34
24,"('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 110})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 110})}",3.144994688034058,0.39908235952725946,0.5229541961712709,0.004961398806066723,32,0.5889681936017083,0.004961798010763957,48,0.5286415209792914,0.006070475401316157,53,0.5592725578735954,0.004557177794107837,55
9,"('xgb', {'learning_rate': 1.0, 'min_child_weight': 11, 'subsample': 1.0, 'verbosity': 0})","{'clf__selected_model': ('xgb', {'learning_rate': 1.0, 'min_child_weight': 11, 'subsample': 1.0, 'verbosity': 0})}",174.37825864156088,15.367747209138113,0.5226701409541136,0.004430979540040537,33,0.5880215443305106,0.005778692328578173,56,0.5308845603384204,0.005870607543437919,51,0.663034720518081,0.006084671582429061,33
0,"('gb', {'learning_rate': 0.2, 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 0.95})","{'clf__selected_model': ('gb', {'learning_rate': 0.2, 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 0.95})}",6.697493537267049,0.15008015540355307,0.5222936518957921,0.004811607479749,34,0.5863105205047675,0.006355229775791776,59,0.5276953119183683,0.0062066758881661925,55,0.6497505954250111,0.004435785351762116,35
56,"('brf', {'criterion': 'gini', 'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 65})","{'clf__selected_model': ('brf', {'criterion': 'gini', 'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 65})}",1.7657349745432536,0.30384451063546225,0.5222498969502783,0.004227101957919558,35,0.5885698027609305,0.005730555059047365,51,0.5283475502274221,0.006940389352209055,54,0.5585662306988888,0.006239921568683757,56
19,"('brf', {'criterion': 'gini', 'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 65})","{'clf__selected_model': ('brf', {'criterion': 'gini', 'max_depth': 23, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 65})}",1.875658639272054,0.5852203395093029,0.5219996830344136,0.0047263973669571645,36,0.5881466316454841,0.004523434145631149,54,0.5276284931739504,0.005248390818553653,57,0.5608083309195153,0.005249369560876329,54
10,"('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20})}",0.8014285246531169,0.23925388181696666,0.5216879009409746,0.0060692991552197375,37,0.5883231782199634,0.005314272506271977,52,0.5266634089837655,0.006505219631858749,58,0.5576974695550266,0.006965241536921622,57
37,"('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 110})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 110})}",3.584286594390869,0.4657746285866353,0.5213344471163982,0.00489663024474014,38,0.5882413566699398,0.005437060161379723,53,0.5266274406093497,0.006581830039002831,59,0.5566215900547867,0.005562328651575194,59
15,"('brf', {'criterion': 'entropy', 'max_depth': 45, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 20})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 45, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 20})}",0.7377045154571533,0.21577573401450995,0.5210357585181614,0.006154979993373733,39,0.5879248834208931,0.005869390868654261,57,0.5262431018815809,0.007041416959140683,60,0.5548994057558254,0.0050454983672259535,60
36,"('xgb', {'learning_rate': 0.001, 'min_child_weight': 1, 'subsample': 0.05, 'verbosity': 0})","{'clf__selected_model': ('xgb', {'learning_rate': 0.001, 'min_child_weight': 1, 'subsample': 0.05, 'verbosity': 0})}",169.29127581914267,18.32575357781184,0.5208797576160115,0.004487903768819969,40,0.6084215184180066,0.004988708041397025,5,0.555427950018458,0.006039143567830179,3,0.7064922098443833,0.0042639406790135545,18
16,"('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200})","{'clf__selected_model': ('brf', {'criterion': 'entropy', 'max_depth': 23, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200})}",6.7230109055837,0.7245611726826946,0.5203348075464397,0.004966431103389394,41,0.5887909265783552,0.005419734942284364,49,0.5276938395142212,0.006444724671639882,56,0.5573996316850771,0.006045275782014204,58
50,"('gb', {'learning_rate': 0.025, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.618})","{'clf__selected_model': ('gb', {'learning_rate': 0.025, 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 100, 'subsample': 0.618})}",1.3268439292907714,0.014024883153979152,0.5201685501627206,0.0034474775281478124,42,0.6062917144598128,0.006106109546431217,10,0.5552292767316052,0.006540448405586244,5,0.7054086007479854,0.0047618343802812635,19
