,precision,recall,f1-score,support
0,0.9171597633136095,1.0,0.9567901234567902,775.0
1,1.0,0.014084507042253521,0.02777777777777778,71.0
accuracy,0.91725768321513,0.91725768321513,0.91725768321513,0.91725768321513
macro avg,0.9585798816568047,0.5070422535211268,0.49228395061728397,846.0
weighted avg,0.9241120763215689,0.91725768321513,0.878823366313516,846.0
