,precision,recall,f1-score,support
0,0.85,0.4857142857142857,0.6181818181818183,35.0
1,0.625,0.9090909090909091,0.7407407407407406,33.0
accuracy,0.6911764705882353,0.6911764705882353,0.6911764705882353,0.6911764705882353
macro avg,0.7375,0.6974025974025974,0.6794612794612794,68.0
weighted avg,0.7408088235294118,0.6911764705882353,0.6776589423648247,68.0
