,precision,recall,f1-score,support
0,0.9142857142857143,0.6611570247933884,0.7673860911270983,726.0
1,0.2336448598130841,0.625,0.3401360544217687,120.0
accuracy,0.6560283687943262,0.6560283687943262,0.6560283687943262,0.6560283687943262
macro avg,0.5739652870493992,0.6430785123966942,0.5537610727744335,846.0
weighted avg,0.8177409122328589,0.6560283687943262,0.7067832490412359,846.0
