,precision,recall,f1-score,support
0,0.8816326530612245,0.9330453563714903,0.906610703043022,463.0
1,0.5373134328358209,0.3829787234042553,0.4472049689440994,94.0
accuracy,0.8402154398563735,0.8402154398563735,0.8402154398563735,0.8402154398563735
macro avg,0.7094730429485228,0.6580120398878728,0.6769078359935607,557.0
weighted avg,0.8235249211021798,0.8402154398563735,0.8290808305020907,557.0
