,precision,recall,f1-score,support
0,0.9508000955337951,0.9657933042212519,0.9582380551209532,4122.0
1,0.5994318181818182,0.5059952038369304,0.5487646293888166,417.0
accuracy,0.9235514430491297,0.9235514430491297,0.9235514430491297,0.9235514430491297
macro avg,0.7751159568578067,0.7358942540290911,0.7535013422548849,4539.0
weighted avg,0.9185197316528138,0.9235514430491297,0.9206195447595739,4539.0
