,0,1,accuracy,macro avg,weighted avg
precision,0.9736842105263158,0.9473684210526315,0.956140350877193,0.9605263157894737,0.9568328716528162
recall,0.9024390243902439,0.9863013698630136,0.956140350877193,0.9443701971266287,0.956140350877193
f1-score,0.9367088607594938,0.9664429530201343,0.956140350877193,0.951575906889814,0.955749112821132
support,41.0,73.0,0.956140350877193,114.0,114.0
