,param_clf__selected_model,params,mean_fit_time,std_fit_time,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,mean_test_f1,std_test_f1,rank_test_f1
11,"('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 50})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 50})}",0.5193601449330648,0.09512247019855322,0.5487797184313398,0.03145482457833198,1,0.09457642011775969,0.008196060293374633,7,0.5686609525200673,0.029215240637687365,1,0.15585914905000095,0.019884389501184565,1
4,"('bbc', {'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 500})","{'clf__selected_model': ('bbc', {'max_features': 0.5, 'max_samples': 0.5, 'n_estimators': 500})}",4.293207168579102,0.142598867839575,0.5432195025249363,0.02624712338614412,2,0.09053013071594533,0.008620184750429786,13,0.5575845366776567,0.02692516441706979,9,0.15240146160185894,0.015762996727754754,2
14,"('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 500})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 500})}",4.43369951248169,0.1195538800616838,0.5416487208380284,0.03712759599054877,3,0.09506851225582216,0.011833939526399604,3,0.567254823810915,0.030962731178511168,2,0.1510613078547888,0.023819567251149074,3
18,"('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 200})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 200})}",2.038791608810425,0.05553160441800324,0.5407406132187026,0.035575398003727714,4,0.09467762724233367,0.009039450828750042,6,0.5659883873794916,0.028357891969005376,4,0.15069465309173655,0.0254795253160581,4
19,"('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 500})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 500})}",4.791610447565715,0.35011078162132014,0.5396155210550477,0.03629703279306779,5,0.09414425745300933,0.008769912307409545,8,0.5648851432188418,0.029489218587385208,6,0.14967207808284702,0.02617979825914697,5
16,"('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 50})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 50})}",0.5491214911142985,0.03152483984168209,0.539225616627019,0.02887975908902924,6,0.09482622252321785,0.011604560682234652,4,0.5601055221679674,0.027564530604448318,8,0.14922615303254333,0.021085914882697187,6
12,"('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 100})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 100})}",0.9684156894683837,0.07611466578763129,0.5377236272832241,0.031518832940318396,7,0.09376734281811425,0.00941010876414664,9,0.5632818990581917,0.02589971709007179,7,0.14859698168397004,0.020623212232516508,7
15,"('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 10})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 10})}",0.11758317947387695,0.003076304785903837,0.5375062601727808,0.03818432213909197,8,0.09169108216786584,0.013651007316270128,12,0.5458425949111751,0.044657079516027265,17,0.14830621876988095,0.02764309105599337,8
7,"('bbc', {'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 100})","{'clf__selected_model': ('bbc', {'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 100})}",0.9941340287526449,0.07577547166484587,0.5358097881279301,0.03203141614487121,9,0.0898543435010645,0.010144878829034325,15,0.5561619471919648,0.030611249251522154,10,0.14766045047650125,0.02100647499758027,9
13,"('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 200})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 200})}",1.9087011178334554,0.16608863538762628,0.5346571164253022,0.036821924089398946,10,0.09547102320887421,0.012677876951580118,2,0.5652406340859452,0.028401249728018586,5,0.1466468543549486,0.02380267674657671,10
6,"('bbc', {'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 50})","{'clf__selected_model': ('bbc', {'max_features': 0.5, 'max_samples': 1.0, 'n_estimators': 50})}",0.49263359705607096,0.016529149019939175,0.5336984405214029,0.02776572027640151,11,0.09468105964574547,0.013489284157603686,5,0.5554371096086697,0.025405905306959714,11,0.14644040212558102,0.018235978034797776,11
17,"('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 100})","{'clf__selected_model': ('bbc', {'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 100})}",1.0475242455800375,0.04747551843054642,0.5325424996174339,0.039411540793750394,12,0.09598587827169096,0.011442388231152291,1,0.5662529805378185,0.030289776699084312,3,0.14469103000121206,0.028219949561410836,12
