,precision,recall,f1-score,support
0,0.9859154929577465,1.0,0.9929078014184397,210.0
1,0.0,0.0,0.0,3.0
accuracy,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9859154929577465
macro avg,0.49295774647887325,0.5,0.49645390070921985,213.0
weighted avg,0.9720293592541163,0.9859154929577465,0.9789231844970532,213.0
