,precision,recall,f1-score,support
0.0,0.4891373801916933,0.3742361280860425,0.4240409915524165,4091.0
1.0,0.595448798988622,0.7020681945220794,0.644377939290295,5367.0
accuracy,0.5602664411080567,0.5602664411080567,0.5602664411080567,0.5602664411080567
macro avg,0.5422930895901577,0.538152161304061,0.5342094654213557,9458.0
weighted avg,0.5494644456054294,0.5602664411080567,0.5490725414053658,9458.0
